시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도,시설 경도,통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일,,
강서구,11500000730,구립 하늘마음어린이집,국공립,정상,7724,서울특별시 강서구 초록마을로 106,02-6959-7736,070-8228-7400,https://iseoul.seoul.go.kr/homepage/main.do?stCode=11500000730,7,154,1,24,15,51,39,37.53897294,126.8514418,미운영,2020-01-10,,,,2022-03-17,장애아통합,,2,3,2,1,0,0,0,0,0,8,6,12,14,7,0,0,0,0,0,39,0,0,0,0,0,1,12,0,0,0,0,0,1,0,15,03:51.0,
강서구,11500000728,이화의료원어린이집,직장,정상,7804,서울특별시 강서구 공항대로 260 B관 4층,02-6986-5950,02-6986-5955,,3,92,1,13,11,30,13,37.55704866,126.8365332,미운영,2019-09-18,,,,2022-03-17,일반,2,0,1,0,0,0,2,0,0,5,5,0,4,0,0,0,4,0,0,13,0,0,0,0,0,1,7,0,0,0,0,0,1,0,11,03:51.0,,
강서구,11500000727,N젤어린이집,직장,정상,7594,서울특별시 강서구 마곡중앙로 177,02-6340-8131,,,3,98,0,9,10,30,26,37.56988038,126.8273321,미운영,2019-08-27,,,,2022-03-17,일반,0,2,1,1,0,0,0,1,0,5,0,6,6,5,0,0,0,9,0,26,0,0,0,0,0,1,8,0,0,0,0,0,1,0,10,03:50.0,,
강서구,11500000726,구립 아이편한어린이집,국공립,정상,7560,서울특별시 강서구 공항대로 583 염창동, e편한세상 염창아파트 관리동,02-2662-3401,02-3663-3401,,6,262,1,12,15,65,56,37.54936148,126.8706025,미운영,2019-08-06,,,,2022-03-17,장애아통합,0,3,3,3,0,0,0,1,2,12,0,15,21,15,0,0,0,3,2,56,0,0,0,0,0,1,12,0,0,0,0,0,1,0,15,03:51.0,
강서구,11500000725,지니어스Bebe어린이집,가정,폐지,7595,서울특별시 강서구 양천로30길 108 1동 112호,02-2664-5656,02-2664-5657,,3,63,0,8,0,19,0,37.56647,126.977963,미운영,2019-06-14,,,2020-08-12,2022-03-17,일반,3,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,03:51.0,,
강서구,11500000724,EMS어린이집,협동,폐지,7590,서울특별시 강서구 화곡로63길 65 예원교회 교육관 1층,02-6342-8291,02-6342-8297,,3,225,0,0,0,49,0,37.55807577,126.8492082,미운영,2019-03-22,,,2021-04-30,2022-03-17,일반,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,03:50.0,,
강서구,11500000723,아장닷컴어린이집,가정,정상,7678,서울특별시 강서구 화곡로42나길 30-17,02-2602-8554,02-2602-3999,,3,78,0,5,5,18,15,37.54948317,126.8479638,미운영,2019-03-04,,,,2022-03-17,일반,2,1,1,0,0,0,2,0,0,6,3,0,0,0,0,0,5,0,0,8,0,0,0,0,0,1,3,0,0,0,0,0,0,0,5,03:51.0,,
강서구,11500000719,구립 청솔어린이집,국공립,정상,7638,서울특별시 강서구 강서로47마길 71 107호,02-2606-7045,02-2664-7046,https://m.cafe.daum.net/cjdthfdjflsdlwlq/_rec,3,58,0,5,7,19,9,37.5500975,126.8325381,미운영,2019-03-01,,,,2022-03-17,일반,1,2,2,0,0,0,2,0,0,7,0,1,5,0,0,0,3,0,0,9,0,0,0,0,0,1,5,0,0,0,0,0,1,0,7,03:51.0,,
강서구,11500000717,구립 뜰아래어린이집,국공립,정상,7535,서울특별시 강서구 양천로67가길 49 201동 105호,02-3664-5637,,http://cafe.daum.net/i.mypepe.com,3,65,0,4,8,19,19,37.55398924,126.8706157,미운영,2019-03-01,,,,2022-03-17,일반,2,2,1,0,0,0,0,0,0,5,6,7,6,0,0,0,0,0,0,19,0,0,0,0,0,1,6,0,0,0,0,0,1,0,8,03:50.0,,
강서구,11500000722,구립 푸른솔어린이집,국공립,정상,7703,서울특별시 강서구 화곡로13길 107 104동 104호(화곡동,화곡푸르지오),02-6342-0042,02-6342-0042,,4,55,0,4,7,19,16,37.54240976,126.8309768,미운영,2019-03-01,,,,2022-03-17,일반,3,3,3,1,0,0,3,0,0,13,3,4,9,0,0,0,0,0,0,16,0,0,0,0,0,1,5,0,0,0,0,0,1,0,7,03:51.0,
강서구,11500000712,구립 강변어린이집,국공립,정상,7525,서울특별시 강서구 허준로 139,02-2659-9046,,,5,160,1,8,9,57,42,37.56484607,126.8558783,미운영,2019-03-01,,,,2022-03-17,일반,0,2,2,1,0,0,2,1,0,8,0,8,12,14,0,0,0,8,0,42,0,0,0,0,0,1,7,0,0,0,0,0,1,0,9,03:50.0,,
강서구,11500000713,구립 해뜰어린이집,국공립,정상,7581,서울특별시 강서구 강서로68길 36 등촌주공2단지아파트 근로복지관2층,02-3663-0218,,,5,94,0,7,13,35,30,37.56481147,126.8428788,미운영,2019-03-01,,,,2022-03-17,일반,3,3,2,0,0,0,0,0,0,8,6,15,9,0,0,0,0,0,0,30,0,0,0,0,0,1,11,0,0,0,0,0,1,0,13,03:51.0,,
강서구,11500000715,구립 엔젤아이어린이집,국공립,정상,7534,서울특별시 강서구 양천로 507 106동 104호,02-6341-7373,02-6341-7373,,3,47,0,4,6,16,16,37.56082019,126.857165,미운영,2019-03-01,,,,2022-03-17,일반,3,2,1,1,0,0,2,0,0,9,3,8,5,0,0,0,0,0,0,16,0,0,0,0,0,1,4,0,0,0,0,0,1,0,6,03:51.0,,
강서구,11500000714,구립 진로어린이집,국공립,정상,7587,서울특별시 강서구 공항대로 351-21 102동 102호,02-2658-4979,,http//cafe.daum.net/jinro4979,3,85,0,4,8,19,19,37.5594918,126.8468456,미운영,2019-03-01,,,,2022-03-17,일반,2,3,2,0,0,0,3,0,0,10,3,6,7,0,0,0,3,0,0,19,0,0,0,0,0,1,6,0,0,0,0,0,1,0,8,03:51.0,,
강서구,11500000721,구립 피노키오어린이집,국공립,정상,7754,서울특별시 강서구 강서로12길 73,02-2605-7829,02-2606-7829,,5,217,0,8,9,48,21,37.53228035,126.85111,미운영,2019-03-01,,,,2022-03-17,일반,3,3,2,1,0,0,0,0,0,9,1,5,15,0,0,0,0,0,0,21,0,0,0,0,0,1,6,0,0,0,0,0,1,0,9,03:51.0,,
강서구,11500000720,구립 샛별어린이집,국공립,정상,7730,서울특별시 강서구 초록마을로 166,02-2606-5070,,,3,106,0,5,8,19,18,37.53619105,126.8461239,미운영,2019-03-01,,,,2022-03-17,일반,3,4,2,0,0,0,0,0,0,9,5,7,6,0,0,0,0,0,0,18,0,0,0,0,0,1,6,0,0,0,0,0,1,0,8,03:51.0,,
강서구,11500000716,구립 가온어린이집,국공립,정상,7552,서울특별시 강서구 양천로 590 102동 102호,02-2658-0179,,,3,65,0,4,8,20,20,37.55576515,126.8644291,미운영,2019-03-01,,,,2022-03-17,일반,2,3,1,0,0,0,3,0,0,9,4,7,0,0,0,0,9,0,0,20,0,0,0,0,0,1,6,0,0,0,0,0,1,0,8,03:50.0,,
강서구,11500000718,구립 한빛어린이집,국공립,정상,7783,서울특별시 강서구 강서로8길 134,02-2697-6711,02-2603-2012,,8,566,1,11,25,132,99,37.53041401,126.8555345,미운영,2019-03-01,,,,2022-03-17,장애아통합,1,5,2,2,1,1,0,0,3,15,3,22,14,21,12,18,0,0,9,99,0,0,0,0,0,1,19,1,0,1,0,0,2,0,25,03:51.0,,
강서구,11500000635,도담어린이집,가정,정상,7798,서울특별시 강서구 마곡서1로 100 607-104(마곡동,마곡엠벨리6단지),070-4233-1225,070-4203-1225,,4,76,0,4,7,20,19,37.56575311,126.8196222,미운영,2019-02-14,,,,2022-03-17,일반,3,2,1,0,0,0,1,0,0,7,3,5,7,0,0,0,4,0,0,19,0,0,0,0,0,1,4,0,0,0,0,0,1,0,7,03:51.0,
강서구,11500000711,근로복지공단 강서어린이집,법인·단체등,정상,7707,서울특별시 강서구 강서로33가길 42,02-2690-2600,02-2690-2605,https://www.comwel.or.kr/kids-gangseo/index.jsp,6,441,1,23,27,114,94,37.5435547,126.8378767,미운영,2018-12-13,,,,2022-03-17,야간연장,시간제보육,0,3,3,0,0,0,0,6,0,12,0,15,14,0,0,0,0,65,0,94,0,0,1,0,0,1,20,0,0,1,1,0,2,1,27,03:51.0,
강서구,11500000710,강서햇빛발도르프어린이집,협동,정상,7662,서울특별시 강서구 까치산로18길 35 강서햇빛발도르프어린이집,02-2653-2462,02-2653-2463,,3,94,0,0,7,35,17,37.54991617,126.8585393,미운영,2018-11-09,,,,2022-03-17,일반,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,5,12,0,17,0,0,0,0,0,1,4,0,0,0,0,0,1,0,7,03:50.0,,
강서구,11500000709,고양이뜰어린이집,협동,폐지,7634,서울특별시 강서구 강서로47길 108 103동 104호(내발산동,마곡수명산파크1단지),02-6052-2629,,http://cafe.daum.net/smwaldorf,3,63,0,0,0,20,0,37.55356618,126.830534,미운영,2018-11-02,,,2020-03-16,2022-03-17,일반,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,03:50.0,
강서구,11500000708,롯데중앙연구소 mom편한 어린이집,직장,정상,7594,서울특별시 강서구 마곡중앙로 201,02-6309-3148,,www.puruni.com/lotternd,3,149,0,10,10,36,21,37.5711283,126.8273604,미운영,2018-08-27,,,,2022-03-17,일반,0,3,2,2,0,0,0,0,0,7,0,7,7,7,0,0,0,0,0,21,0,0,0,0,0,1,8,0,0,0,0,0,1,0,10,03:51.0,,
강서구,11500000693,마곡어린이집,가정,정상,7809,서울특별시 강서구 마곡중앙1로 71 1308동 102호(마곡동,마곡13단지힐스테이트마스터),02-2665-6777,0505-055-6777,,3,55,0,4,4,20,11,37.55690985,126.8178734,미운영,2018-04-09,,,,2022-03-17,야간연장,2,2,1,0,0,0,2,0,0,7,0,3,5,0,0,0,3,0,0,11,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,03:51.0,
강서구,11500000706,하선어린이집,가정,폐지,7609,서울특별시 강서구 양천로14길 37 신안네트빌 101-102,02-2665-2994,,,4,64,0,5,0,19,0,37.57156612,126.8102988,미운영,2018-03-05,,,2021-06-23,2022-03-17,일반,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,03:52.0,,
강서구,11500000703,구립 하나로어린이집,국공립,정상,7542,서울특별시 강서구 양천로73길 5 101동 105호,02-2652-5946,02-2652-5946,https://cafe.naver.com/hanarohouse,3,59,0,4,9,20,20,37.55189518,126.8715136,미운영,2018-03-01,,,,2022-03-17,일반,3,2,2,0,0,0,0,0,0,7,6,8,6,0,0,0,0,0,0,20,0,0,0,0,0,1,7,0,0,0,0,0,1,0,9,03:51.0,,
강서구,11500000705,구립 한숲어린이집,국공립,정상,7518,서울특별시 강서구 방화대로50길 7 101동 102호(방화동 한숲마을대림아파트),02-6348-7942,02-6368-7942,,4,60,0,4,8,20,16,37.57681041,126.8174763,미운영,2018-03-01,,,,2022-03-17,일반,3,4,2,0,0,0,3,0,0,12,2,6,8,0,0,0,0,0,0,16,0,0,0,0,0,1,6,0,0,0,0,0,1,0,8,03:51.0,,
강서구,11500000707,마곡1 고운비어린이집,국공립,정상,7598,서울특별시 강서구 마곡서1로 131 101동 115호(마곡동, 엠벨리1단지아파트),02-2666-2004,,,4,60,0,4,8,20,20,37.56875001,126.8185736,미운영,2018-03-01,,,,2022-03-17,야간연장,2,2,2,0,0,0,4,0,0,10,4,4,12,0,0,0,0,0,0,20,0,0,0,0,0,1,6,0,0,0,0,0,1,0,8,03:51.0,
강서구,11500000704,구립 모아어린이집,국공립,정상,7517,서울특별시 강서구 방화대로45길 78 101동 103호(방화동, 보람쉬움아파트),02-2661-8767,,,4,60,0,5,8,20,17,37.57461066,126.8120389,미운영,2018-03-01,,,,2022-03-17,일반,2,2,1,0,0,0,3,0,0,8,4,3,5,0,0,0,5,0,0,17,0,0,0,0,0,1,6,0,0,0,0,0,1,0,8,03:50.0,
강서구,11500000702,에스앤아이 강서어린이집,직장,정상,7789,서울특별시 강서구 마곡중앙로 150 2층,02-2088-2021,02-2088-1117,,4,151,1,12,6,36,8,37.56688204,126.828686,미운영,2018-02-28,,,,2022-03-17,일반,0,1,2,1,0,0,0,0,0,4,0,1,4,3,0,0,0,0,0,8,0,0,0,0,0,1,4,0,0,0,0,0,1,0,6,03:51.0,,
강서구,11500000701,사이언스파크어린이집,직장,정상,7796,서울특별시 강서구 마곡중앙10로 30,02-6941-0302,02-6941-0320,http://moamom101.kiznet.co.kr,16,2245,3,58,65,300,271,37.5633358,126.8312465,미운영,2018-02-28,,,,2022-03-17,일반,0,15,12,6,5,4,0,0,0,42,0,48,54,66,57,46,0,0,0,271,1,1,0,0,0,1,52,0,0,1,0,1,6,1,65,03:51.0,,
강서구,11500000699,마곡코오롱어린이집,직장,정상,7793,서울특별시 강서구 마곡동로 110 1층 (마곡동, 코오롱미래기술원),02-2199-1990,02-2199-1994,www.puruni.com/kolongs,4,226,1,16,18,65,49,37.56451696,126.8350356,미운영,2018-02-27,,,,2022-03-17,일반,0,3,3,0,0,2,0,3,0,11,0,11,10,0,0,8,0,20,0,49,0,0,0,0,0,1,13,0,0,1,0,0,2,0,18,03:51.0,
강서구,11500000700,잘자람어린이집,가정,정상,7604,서울특별시 강서구 방화대로37길 26 방화현대아파트101-102,02-2662-6660,,blog.naver.com/kpsoul,4,62,0,4,6,19,12,37.57040402,126.8138063,미운영,2018-02-27,,,,2022-03-17,일반,1,1,1,0,0,0,4,0,0,7,3,4,0,0,0,0,5,0,0,12,0,0,0,0,0,1,4,0,0,0,0,0,0,0,6,03:51.0,,
강서구,11500000698,드림아이어린이집,가정,폐지,7595,서울특별시 강서구 방화대로34길 88 마곡푸르지오아파트 102동 102호,02-6489-9691,,,4,66,0,7,0,20,0,37.57015587,126.8217311,미운영,2018-02-08,,,2021-02-28,2022-03-17,일반,1,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,03:51.0,,
강서구,11500000697,LG CNS어린이집,직장,정상,7795,서울특별시 강서구 마곡중앙10로 70,02-2088-4065,,,3,120,0,14,12,35,30,37.56276487,126.8352828,미운영,2017-12-27,,,,2022-03-17,일반,0,2,3,0,0,0,0,2,0,7,0,8,12,0,0,0,0,10,0,30,0,0,0,0,0,1,9,0,0,0,0,0,2,0,12,03:50.0,,
강서구,11500000696,마곡13 하나어린이집,국공립,정상,7809,서울특별시 강서구 마곡중앙1로 71 (마곡동, 마곡13단지힐스테이트마스터),02-2666-4521,,,9,317,0,22,22,120,113,37.55789163,126.8176718,미운영,2017-11-01,,,,2022-03-17,야간연장,2,2,2,1,2,2,0,0,0,11,6,10,14,14,29,38,0,0,0,111,0,0,0,0,0,1,17,0,0,1,1,0,2,0,22,03:51.0,
강서구,11500000695,해피랜드어린이집,가정,정상,7809,서울특별시 강서구 마곡중앙1로 71 1312동 106호(마곡동,마곡13단지힐스테이트마스터),02-2667-0008,02-2665-2088,,3,55,0,5,6,20,19,37.55808573,126.8193917,미운영,2017-09-22,,,,2022-03-17,일반,0,3,2,0,0,0,0,0,0,5,0,12,7,0,0,0,0,0,0,19,0,0,0,0,0,1,4,0,0,0,0,0,1,0,6,03:52.0,
강서구,11500000694,센트럴어린이집,가정,폐지,7809,서울특별시 강서구 마곡중앙1로 71 1303동 103호(마곡동,마곡13단지힐스테이트마스터),02-2663-6999,02-2663-6998,,3,66,0,4,0,20,0,37.55690985,126.8178734,미운영,2017-08-11,,,2020-08-31,2022-03-17,일반,1,1,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,03:51.0,
강서구,11500000692,푸른씨앗어린이집,가정,폐지,7605,서울특별시 강서구 방화대로37길 15 제2동 103호(방화동, 신동아아파트),02-2666-2103,02-2666-2103,,4,65,0,4,0,20,0,37.57007958,126.8160529,미운영,2017-06-28,,,2021-03-25,2022-03-17,일반,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,03:52.0,
강서구,11500000691,예지어린이집,가정,정상,7809,서울특별시 강서구 마곡중앙1로 71 1314동 102호(마곡동,마곡13단지힐스테이트마스터),02-2666-3330,02-2666-3330,,3,61,0,4,1,20,0,37.55690985,126.8178734,미운영,2017-06-21,,,,2022-03-17,일반,1,1,2,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,03:51.0,
강서구,11500000690,고운아이어린이집,가정,정상,7809,서울특별시 강서구 마곡중앙1로 71 1307동 101호(공항동,마곡13단지힐스테이트마스터),02-2665-5757,02-2665-5757,,3,55,0,4,7,20,20,37.55690985,126.8178734,미운영,2017-06-07,,,,2022-03-17,일반,2,2,1,0,0,0,4,0,0,9,0,5,7,0,0,0,8,0,0,20,0,0,0,0,0,1,5,0,0,0,0,0,0,0,7,03:50.0,
강서구,11500000689,하늘빛어린이집,가정,폐지,7809,서울특별시 강서구 마곡중앙1로 71 1309동 104호(마곡동,마곡13단지힐스테이트마스터),02-2652-4675,02-2652-4675,,4,66,0,4,0,20,0,37.55856744,126.8177155,미운영,2017-05-18,,,2020-02-29,2022-03-17,일반,1,0,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,03:52.0,
강서구,11500000687,마곡아이솔어린이집,가정,정상,7809,서울특별시 강서구 마곡중앙1로 71 1301동 101호(마곡동,마곡13단지힐스테이트마스터),02-6080-7839,02-6080-7839,,3,55,0,4,0,20,0,37.55690985,126.8178734,미운영,2017-05-11,,,,2022-03-17,일반,2,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,03:51.0,
강서구,11500000688,고운아이어린이집,가정,폐지,7809,서울특별시 강서구 마곡중앙1로 71,02-2665-5757,02-2665-5757,,3,55,0,0,0,20,0,37.55690985,126.8178734,,2017-05-11,,,2017-05-24,2022-03-17,일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,03:50.0,,
강서구,11500000278,보라어린이집,가정,정상,7579,서울특별시 강서구 공항대로39길 100 103동 105호(등촌동,등촌대림아파트),02-3661-7715,02-3661-7716,,3,66,1,5,2,20,1,37.56361546,126.847394,미운영,2017-05-11,,,,2022-03-17,일반,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,03:51.0,
